NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
05689401,900000,418271,1,1,T
05689401,900000,418271,2,1,T
05689401,900000,418271,3,1,T
05689401,900000,418271,4,1,T
05689401,900000,418271,5,1,T
05689401,980000,418271,1,1,T
05689401,980000,418271,2,1,T
05689401,980000,418271,3,1,T
05689401,980000,418271,4,1,T
05689401,980000,418271,5,1,T
05689402,900000,418271,1,1,T
05689402,900000,418271,2,1,T
05689402,900000,418271,3,1,T
05689402,900000,418271,4,1,T
05689402,900000,418271,5,1,T
05689402,980000,418271,1,1,T
05689402,980000,418271,2,1,T
05689402,980000,418271,3,1,T
05689402,980000,418271,4,1,T
05689402,980000,418271,5,1,T
05689411,800940,17651,1,1,T
05689411,800940,17651,2,1,T
05689411,800940,17651,3,1,T
05689411,800940,17651,4,1,T
05689411,800940,17651,5,1,T
05689411,900000,115215,1,1,
05689411,900000,100000,2,1,
05689411,900000,82967,3,1,
05689411,900000,15494,4,1,
05689411,900000,71990,5,1,
05689411,900160,20411,1,1,
05689411,900160,48170,2,1,
05689411,900160,5924,3,1,
05689411,900160,55799,4,1,
05689411,900160,2080,5,1,
05689411,980000,135626,1,1,
05689411,980000,148170,2,1,
05689411,980000,88891,3,1,
05689411,980000,71293,4,1,
05689411,980000,74070,5,1,
05689412,800940,17651,1,1,T
05689412,800940,17651,2,1,T
05689412,800940,17651,3,1,T
05689412,800940,17651,4,1,T
05689412,800940,17651,5,1,T
05689412,900000,100873,1,1,
05689412,900000,144466,2,1,
05689412,900000,144114,3,1,
05689412,900000,76284,4,1,
05689412,900000,128820,5,1,
05689412,900160,249,1,1,
05689412,900160,33524,2,1,
05689412,900160,41723,3,1,
05689412,900160,102188,4,1,
05689412,900160,43494,5,1,
05689412,980000,101122,1,1,
05689412,980000,177990,2,1,
05689412,980000,185837,3,1,
05689412,980000,178472,4,1,
05689412,980000,172314,5,1,
05689421,900030,1500,1,1,
05689421,900030,1500,2,1,
05689421,900030,1500,3,1,
05689421,900030,1500,4,1,
05689421,900030,1500,5,1,
05689421,900170,970,1,1,
05689421,900170,12578,2,1,
05689421,900170,1423,3,1,
05689421,900170,853,4,1,
05689421,900170,27266,5,1,
05689421,980000,2470,1,1,
05689421,980000,14078,2,1,
05689421,980000,2923,3,1,
05689421,980000,2353,4,1,
05689421,980000,28766,5,1,
05689422,900030,1500,1,1,
05689422,900030,1500,2,1,
05689422,900030,1500,3,1,
05689422,900030,1500,4,1,
05689422,900030,1500,5,1,
05689422,900170,565,1,1,
05689422,900170,805,2,1,
05689422,900170,1087,3,1,
05689422,900170,7424,4,1,
05689422,900170,189,5,1,
05689422,980000,2065,1,1,
05689422,980000,2305,2,1,
05689422,980000,2587,3,1,
05689422,980000,8924,4,1,
05689422,980000,1689,5,1,
05689431,900000,42618,1,1,
05689431,900000,42965,2,1,
05689431,900000,41791,3,1,
05689431,900000,42783,4,1,
05689431,900000,49501,5,1,
05689431,900170,1500,1,1,
05689431,900170,1500,2,1,
05689431,900170,1500,3,1,
05689431,900170,1500,4,1,
05689431,900170,1500,5,1,
05689431,980000,44118,1,1,
05689431,980000,44465,2,1,
05689431,980000,43291,3,1,
05689431,980000,44283,4,1,
05689431,980000,51001,5,1,
05689432,900000,49127,1,1,
05689432,900000,44067,2,1,
05689432,900000,44675,3,1,
05689432,900000,48762,4,1,
05689432,900000,44394,5,1,
05689432,900170,1500,1,1,
05689432,900170,1500,2,1,
05689432,900170,1500,3,1,
05689432,900170,1500,4,1,
05689432,900170,1500,5,1,
05689432,980000,50627,1,1,
05689432,980000,45567,2,1,
05689432,980000,46175,3,1,
05689432,980000,50262,4,1,
05689432,980000,45894,5,1,
05689451,900030,16364,1,1,
05689451,900030,16364,2,1,
05689451,900030,16364,3,1,
05689451,900030,16364,4,1,
05689451,900030,16364,5,1,
05689451,900160,15177,1,1,
05689451,900160,84972,2,1,
05689451,900160,119987,3,1,
05689451,900160,78533,4,1,
05689451,900160,22824,5,1,
05689451,900180,2624,1,1,
05689451,900180,2624,2,1,
05689451,900180,2624,3,1,
05689451,900180,2624,4,1,
05689451,900180,2624,5,1,
05689451,900210,42000,1,1,
05689451,900210,42000,2,1,
05689451,900210,42000,3,1,
05689451,900210,42000,4,1,
05689451,900210,42000,5,1,
05689451,980000,76165,1,1,
05689451,980000,145960,2,1,
05689451,980000,180975,3,1,
05689451,980000,139521,4,1,
05689451,980000,83812,5,1,
05689452,900030,16364,1,1,
05689452,900030,16364,2,1,
05689452,900030,16364,3,1,
05689452,900030,16364,4,1,
05689452,900030,16364,5,1,
05689452,900160,149584,1,1,T
05689452,900160,149584,2,1,T
05689452,900160,149584,3,1,T
05689452,900160,149584,4,1,T
05689452,900160,149584,5,1,T
05689452,900180,2624,1,1,
05689452,900180,2624,2,1,
05689452,900180,2624,3,1,
05689452,900180,2624,4,1,
05689452,900180,2624,5,1,
05689452,900210,42000,1,1,
05689452,900210,42000,2,1,
05689452,900210,42000,3,1,
05689452,900210,42000,4,1,
05689452,900210,42000,5,1,
05689452,980000,210572,1,1,T
05689452,980000,210572,2,1,T
05689452,980000,210572,3,1,T
05689452,980000,210572,4,1,T
05689452,980000,210572,5,1,T
05689471,900030,52192,1,1,
05689471,900030,52192,2,1,
05689471,900030,52192,3,1,
05689471,900030,52192,4,1,
05689471,900030,52192,5,1,
05689471,900170,26400,1,1,
05689471,900170,26400,2,1,
05689471,900170,26400,3,1,
05689471,900170,26400,4,1,
05689471,900170,26400,5,1,
05689471,900180,1374,1,1,
05689471,900180,1033,2,1,
05689471,900180,1041,3,1,
05689471,900180,1236,4,1,
05689471,900180,1211,5,1,
05689471,980000,79966,1,1,
05689471,980000,79625,2,1,
05689471,980000,79633,3,1,
05689471,980000,79828,4,1,
05689471,980000,79803,5,1,
05689472,900030,52192,1,1,
05689472,900030,52192,2,1,
05689472,900030,52192,3,1,
05689472,900030,52192,4,1,
05689472,900030,52192,5,1,
05689472,900170,26400,1,1,
05689472,900170,26400,2,1,
05689472,900170,26400,3,1,
05689472,900170,26400,4,1,
05689472,900170,26400,5,1,
05689472,900180,1163,1,1,
05689472,900180,1021,2,1,
05689472,900180,1607,3,1,
05689472,900180,1133,4,1,
05689472,900180,1397,5,1,
05689472,980000,79755,1,1,
05689472,980000,79613,2,1,
05689472,980000,80199,3,1,
05689472,980000,79725,4,1,
05689472,980000,79989,5,1,
05689481,900000,100000,1,1,
05689481,900000,100000,2,1,
05689481,900000,100000,3,1,
05689481,900000,100000,4,1,
05689481,900000,100000,5,1,
05689481,900030,18896,1,1,
05689481,900030,18896,2,1,
05689481,900030,18896,3,1,
05689481,900030,18896,4,1,
05689481,900030,18896,5,1,
05689481,900090,845,1,1,
05689481,900090,845,2,1,
05689481,900090,845,3,1,
05689481,900090,845,4,1,
05689481,900090,845,5,1,
05689481,980000,119741,1,1,
05689481,980000,119741,2,1,
05689481,980000,119741,3,1,
05689481,980000,119741,4,1,
05689481,980000,119741,5,1,
05689482,900000,100000,1,1,
05689482,900000,100000,2,1,
05689482,900000,100000,3,1,
05689482,900000,100000,4,1,
05689482,900000,100000,5,1,
05689482,900030,18896,1,1,
05689482,900030,18896,2,1,
05689482,900030,18896,3,1,
05689482,900030,18896,4,1,
05689482,900030,18896,5,1,
05689482,900090,845,1,1,
05689482,900090,845,2,1,
05689482,900090,845,3,1,
05689482,900090,845,4,1,
05689482,900090,845,5,1,
05689482,980000,119741,1,1,
05689482,980000,119741,2,1,
05689482,980000,119741,3,1,
05689482,980000,119741,4,1,
05689482,980000,119741,5,1,
05689561,900000,265000,1,1,
05689561,900000,265000,2,1,
05689561,900000,265000,3,1,
05689561,900000,265000,4,1,
05689561,900000,265000,5,1,
05689561,900170,12000,1,1,
05689561,900170,12000,2,1,
05689561,900170,12000,3,1,
05689561,900170,12000,4,1,
05689561,900170,12000,5,1,
05689561,900180,7120,1,1,
05689561,900180,6700,2,1,
05689561,900180,6047,3,1,
05689561,900180,6624,4,1,
05689561,900180,5951,5,1,
05689561,980000,284120,1,1,
05689561,980000,283700,2,1,
05689561,980000,283047,3,1,
05689561,980000,283624,4,1,
05689561,980000,282951,5,1,
05689562,900000,265000,1,1,
05689562,900000,265000,2,1,
05689562,900000,265000,3,1,
05689562,900000,265000,4,1,
05689562,900000,265000,5,1,
05689562,900170,12000,1,1,
05689562,900170,12000,2,1,
05689562,900170,12000,3,1,
05689562,900170,12000,4,1,
05689562,900170,12000,5,1,
05689562,900180,5562,1,1,
05689562,900180,8152,2,1,
05689562,900180,6221,3,1,
05689562,900180,8282,4,1,
05689562,900180,8546,5,1,
05689562,980000,282562,1,1,
05689562,980000,285152,2,1,
05689562,980000,283221,3,1,
05689562,980000,285282,4,1,
05689562,980000,285546,5,1,
05689591,900030,42592,1,1,
05689591,900030,42592,2,1,
05689591,900030,42592,3,1,
05689591,900030,42592,4,1,
05689591,900030,42592,5,1,
05689591,900170,900,1,1,
05689591,900170,900,2,1,
05689591,900170,900,3,1,
05689591,900170,900,4,1,
05689591,900170,900,5,1,
05689591,980000,43492,1,1,
05689591,980000,43492,2,1,
05689591,980000,43492,3,1,
05689591,980000,43492,4,1,
05689591,980000,43492,5,1,
05689592,900030,42592,1,1,
05689592,900030,42592,2,1,
05689592,900030,42592,3,1,
05689592,900030,42592,4,1,
05689592,900030,42592,5,1,
05689592,900170,900,1,1,
05689592,900170,900,2,1,
05689592,900170,900,3,1,
05689592,900170,900,4,1,
05689592,900170,900,5,1,
05689592,980000,43492,1,1,
05689592,980000,43492,2,1,
05689592,980000,43492,3,1,
05689592,980000,43492,4,1,
05689592,980000,43492,5,1,
05689601,900030,14096,1,1,
